checkpoint	length=50_run1	length=50_run2	length=50_run3	length=50_run4	length=50_run5	length=50_max	length=50_avg
iter_0000099	69.53	73.44	74.22	69.53	71.88	74.22	71.72
iter_0000199	73.44	70.31	70.31	70.31	69.53	73.44	70.78
iter_0000299	74.22	73.44	75.0	75.78	78.12	78.12	75.31
iter_0000399	71.88	72.66	73.44	73.44	72.66	73.44	72.82
iter_0000499	75.78	75.0	77.34	74.22	74.22	77.34	75.31
iter_0000099	67.97	70.31	69.53	70.31	67.19	70.31	69.06
iter_0000199	72.66	71.09	73.44	73.44	70.31	73.44	72.19
iter_0000299	73.44	76.56	71.09	72.66	75.0	76.56	73.75
iter_0000399	74.22	74.22	75.0	71.09	71.88	75.00	73.28
iter_0000499	76.56	75.0	69.53	75.0	76.56	76.56	74.53
iter_0000099	70.31	69.53	67.97	69.53	66.41	70.31	68.75
iter_0000199	70.31	70.31	72.66	72.66	71.09	72.66	71.41
iter_0000299	75.78	72.66	75.78	75.0	71.88	75.78	74.22
iter_0000399	72.66	69.53	67.19	68.75	70.31	72.66	69.69
iter_0000499	75.0	75.0	75.78	71.09	69.53	75.78	73.28
iter_0000099	64.84	63.28	64.84	67.97	67.19	67.97	65.62
iter_0000199	69.53	69.53	72.66	71.09	71.88	72.66	70.94
iter_0000299	72.66	74.22	68.75	73.44	71.88	74.22	72.19
iter_0000399	72.66	67.19	69.53	65.62	67.19	72.66	68.44
iter_0000499	68.75	68.75	71.09	69.53	71.09	71.09	69.84
iter_0000099	59.38	64.06	61.72	63.28	59.38	64.06	61.56
iter_0000199	67.19	71.88	65.62	67.97	67.97	71.88	68.13
iter_0000299	73.44	77.34	74.22	67.97	72.66	77.34	73.13
iter_0000399	62.5	63.28	60.94	64.84	57.81	64.84	61.87
iter_0000499	62.5	66.41	67.19	67.19	67.19	67.19	66.10
iter_0000099	64.06	62.5	62.5	60.94	67.19	67.19	63.44
iter_0000199	65.62	57.03	66.41	64.84	64.06	66.41	63.59
iter_0000299	72.66	67.97	66.41	67.97	71.09	72.66	69.22
iter_0000399	57.81	60.94	53.91	57.03	56.25	60.94	57.19
iter_0000499	60.94	67.97	65.62	63.28	65.62	67.97	64.69
iter_0000099	63.28	63.28	60.94	59.38	59.38	63.28	61.25
iter_0000199	57.03	61.72	60.16	57.81	63.28	63.28	60.00
iter_0000299	69.53	67.97	67.19	67.19	69.53	69.53	68.28
iter_0000399	50.78	51.56	54.69	53.91	57.03	57.03	53.59
